hash	title
02417a5	Community Issue Turnaround (% Closed Within 30 Days, 6-month avg)
0682c7a	Copilot PRs by Type — dotnet repos aggregated (4-week avg)
09be786	Net PR Flow — last 4 months (7-day trailing sum, lightly smoothed)
14a9037	% of PRs Receiving CHANGES_REQUESTED (4-week rolling)
191dc46	Human Comments Comparison — Last Month (4-week rolling mean)
1b1f105	PR Merge Rate (Merged per Week, 52-week rolling avg)
1db0751	Time to First Feedback — Last Month (P50 hours, 4-week rolling)
1e9930e	First Human Comment to Merge — P50 (weekly, 4-week rolling)
21eb4ea	Community Issue Time-to-Close — 75th Percentile (12-month avg)
231be83	Issues Opened by Community (6-month avg)
262917a	Human 'Rubber Stamp' Rate on Copilot-Reviewed PRs (4-week rolling)
28e48cd	Defect Rate: Copilot-Only vs Human+Copilot Review
2e1f86c	Time to First Review Feedback — Copilot vs Human (P50 hours, 4-week rolling)
3276189	Active Community Contributors (Distinct PR Authors, 2-Month Window)
3ab0895	Review Thread Depth: Copilot vs Human-Initiated
3ebe067	Distinct Community Issue Openers (2-Month Window, 6-month avg)
3ecf41f	Time to Merge PRs — 75th Percentile (18-month avg)
3ffef8d	Community vs Maintainer Merge Speed (ratio, lower = more equal)
400a644	Time to Human Approval (P50 hours, 4-week rolling)
4774cbc	Copilot PRs by Type (4-week avg)
4d62f93	CI-Triggering Pushes per PR — weekly means with linear trend
4e60af1	Human Review Comments — Copilot-Reviewed vs Not (4-week rolling mean)
50e53e8	Copilot Comment Density — Last Month (4-week rolling mean)
59cf651	Suggestion Response Time: Copilot vs Human
5f4030a	Copilot Suggestion Rate — % of Comments with Code Suggestions (4-week rolling)
60ef5ce	Code Changes Completed Before Human Review (4-week rolling P50)
613d0f6	Median Age of Open PRs (Monthly Snapshot, 6-month avg)
663108d	Copilot PRs as % of All PRs (4-week avg)
6b95cd6	Copilot Review Coverage — % of Merged PRs Reviewed (4-week rolling)
6c604c1	Open Issues
7ab7794	Time to First Comment — P50 (weekly, 4-week rolling)
7bc05d9	Copilot Review → Human Approval (P50 hours, 4-week rolling)
7f1d798	PR Merge Rate — last 4 months (7-day trailing sum)
8259e7a	First Comment to Merge Delta (Human − Copilot, positive = copilot sooner) — per repo (4-week rolling P50)
83a3ef9	PR Merge Rate — last 12 months (28-day trailing sum)
85e679f	First-Time Community Contributor Retention (% returning within 12 months)
8847a7f	Community PR Concentration
9053d2a	Issue Turnaround (% Closed Within 30 Days, 6-month avg)
95506c4	Median Age of Open Community Issues (Monthly Snapshot, 6-month avg)
97a3b79	Median Time-to-Merge: Copilot vs Human — dotnet/runtime (Monthly)
995f2bd	Open Issues Over Time (6-month rolling avg)
9a7333b	Median Time-to-Merge: Copilot vs Human — Azure/azure-sdk-for-js (Monthly)
9a7d188	Net Issue Flow (Opened − Closed per Week, 2-year avg)
9e5bd1f	Issues: Opened vs Closed (26-week avg)
9f419e4	Open Pull Requests Over Time (6-month rolling avg)
ab9a1e8	Human Reviewer Participation — Last Month (4-week rolling mean)
b2cb4e0	Active Maintainers (Distinct Mergers, 2-Month Rolling Window)
b3825a4	Copilot Review Coverage — Last Month (4-week rolling)
b95528c	Issue Close Ratio (Closed / Opened, Trailing 12-Month Window)
bbff441	PRs: Opened vs Merged (26-week avg)
be91cc2	Code Completeness Before Human Review — Last Month (4-week rolling P50)
bf3e0e9	Open Issues per Active Maintainer (3-month rolling avg)
c12f8ef	PRs Merged per Active Maintainer (Monthly, 4-month avg)
c22c906	Time to First Comment Delta (Human − Copilot, positive = copilot sooner) — per repo (4-week rolling P50)
c7884fc	Community Share of PRs (6-month avg)
ca5a6b5	Copilot→Human Approval — Last Month (P50 hours, 4-week rolling)
cb9d102	Net PR Flow (Opened − Merged per Week, 2-year avg)
cd1e7fa	Suggestion Rate — Last Month (% with suggestions, 4-week rolling)
d291c2f	Copilot Review Comments per 100 Lines Changed (4-week rolling mean)
d797abb	Open PRs (6-month avg)
daea0f2	Human Reviewers per PR (4-week rolling mean)
dd0bcb3	Community PR Merge Latency (median days, 6-month rolling)
e18c1c1	Revert / Fix-Recent Rate (4-week rolling, per 100 merged PRs)
e7d439e	Change Attribution: Who Drives Post-Review Work?
e98fb5a	Open PRs per Active Maintainer (3-month rolling avg)
eb7bb95	PR Merge Rate: Copilot vs Human — dotnet/runtime (Monthly)
effafa6	Community PR Concentration Over Time (Gini Coefficient, 6-month windows)
f55a19d	First Review Response Time (P50 hours)
fc23ee6	Community Share of Issues (6-month avg)
